Blob,0.285882353,0.321081409,0.04745098,0.02764277,1,0
Blob,0.563529412,0.321081409,0.048627451,0.02764277,1,1
Blob,0.849411765,0.321081409,0.048235294,0.027946537,1,2
Blob,0.285882353,0.472964763,0.04745098,0.02764277,2,0
Blob,0.563529412,0.472964763,0.048627451,0.02764277,2,1
Blob,0.849411765,0.47326853,0.048235294,0.02764277,2,2
Blob,0.285882353,0.62454435,0.04745098,0.02764277,3,0
Blob,0.563529412,0.62454435,0.048627451,0.02764277,3,1
Blob,0.849411765,0.62454435,0.048235294,0.027946537,3,2
Blob,0.285882353,0.776427704,0.04745098,0.02764277,4,0
Blob,0.563529412,0.776427704,0.048627451,0.02764277,4,1
Blob,0.849411765,0.776427704,0.048235294,0.027946537,4,2
Blob,0.285882353,0.927399757,0.04745098,0.02764277,5,0
Blob,0.563529412,0.927399757,0.048627451,0.02764277,5,1
Blob,0.849411765,0.927703524,0.048235294,0.02764277,5,2
